start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
-1.0,35.0,22:00 - 24:00,2,"[234.0, 258.0]",0.04,0.2,"['cbd03643c8a1083ae3d239d7df6d27f7a4285040a141dc10ab20569dbafa6135_3', '9d2f5c12c443facf6e52ea21563f149f83d6f1b31c488294a4ec1f72e0e712b3_3']"
-1.0,37.0,14:00 - 16:00,3,"[215.0, 230.0, 130.0]",0.539,0.734,"['78effa61942922e7689ffdfe6670c467b3d5d9cc9b3dc94b76c69d7c74aa4e3b_1', 'e8d6b243a64bac10f238f688fcb638a072178acdd9f4b3843f3d8215f32ca56c_1', 'f3fe35e00e0bc16a7dd6477234025b11fb9b2cb8598f8799cb94a9d0e3968682_1']"
-1.0,40.0,14:00 - 16:00,2,"[1209.0, 550.0]",30.158,5.492,"['2e96f3820228a39e1654015579fb0d7f251f28eca909831b8f432939a4de9214_3', 'f6915d5960bfc45fe16aedfe744f231fed74c846cd1dc7a016d4d7bc5de2c034_3']"
-1.0,40.0,22:00 - 24:00,2,"[205.0, 300.0]",0.627,0.792,"['351610f3dbb4af7a82c7f8defa21c920f95b42b3135b597ce4bfc4b5cae10411_3', '0e6aad47fd931ccdbd6d8194870d397836ca3e33cf60602faecf0cea5e80c693_3']"
-1.0,110.0,06:00 - 08:00,2,"[2019.0, 553.0]",149.247,12.217,"['1c57f7dd4e1f7092da9068e6e304550a6d0aacbf8bbc879b1b084187aa23b615_3', 'c5a9c9ec24a6ac9d99baa06869ea76fee3e236400e1fe444653f91dfaaadf7a7_3']"
-1.0,115.0,06:00 - 08:00,3,"[1580.0, 580.0, 887.0]",48.596,6.971,"['f81e2a20d79541913fa3d9b4b9b34da330674655c68a082fe0674b4e99f031b6_3', 'fd4983bf6f5d58129c51bf3a0cc94c9569228d04b06b5ec9c446207dd50c5b7d_3', 'c642b74c29cd1cad6c2c261ccbf71435d2254296c5cbf72497523d1b3a35bbac_1']"
-1.0,115.0,08:00 - 10:00,5,"[890.0, 1281.0, 713.0, 438.0, 600.0]",23.159,4.812,"['c37f6ca86b93b98fd81e71a2988f3e4381bd6d67182fc70e76f85eab5da0ed9e_3', '0c268640e1e6c427b1edec6f0a685066ffcdde98a3d868e02349795b1b8ca319_3', 'e6775d1b39267451beb01a90348254a4786caef51b79c4eed5e14f2ba84b085b_3', '5951c9750f50454740adf5e5afdf7e76b6a2786c38a6896e3e23044e413adc8b_3', 'd4b1cbd967518b23edf0a1e80dc71793fcb31a5de1297ce1e76280b9bc8cce59_3']"
-1.0,115.0,14:00 - 16:00,2,"[285.0, 620.0]",7.793,2.792,"['d875d7ea5435d8c5222396cce5877a088fbda05ed697762bf838cf1825bce03e_1', '1204d7a8a6a4d7bf8f04b5efb70ea8df90586678c5300782aa9573d1674ca6d5_3']"
-1.0,115.0,22:00 - 24:00,2,"[968.0, 418.0]",21.007,4.583,"['148f859f2156985f16c075bb84c9783dfc096542c6984fe525985a7e4a2aaf52_1', '1f8a0c4c1cec4b47b58a0e837cf9795c462a98fd15587fb0c3d6d671dbfca6a8_1']"
-1.0,126.0,10:00 - 12:00,3,"[473.0, 402.0, 150.0]",5.336,2.31,"['7e872d99f6d904e643b6dae43ce40bd24fcc7e5d2e8373252599c082fc9866ee_1', 'd11183b05f9de146c67b9eacddac24740be4c2475a4d00996243b0dac4f4f89f_1', 'a6ce54e01b516fd307be7cd2708237f4a2304c0dd407bea20ca0bd8345d5f6c9_1']"
