start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
-1.0,0.0,08:00 - 10:00,2,"[161.0, 827.0]",30.802,5.55,"['1f2dee6b243e685b50cd3456af84f404e0f597d7af71ffcc833f2509e14c86f0_1', '5add97419d33ce1de6e02651580562dfce1fdf095c9b424288a0cf9bd794f592_1']"
-1.0,0.0,10:00 - 12:00,3,"[150.0, 185.0, 370.0]",2.588,1.609,"['cdf5198f0ee30926d2e1590fa604b4b6188f13ed31f581daee19e4b6642d5eb0_1', 'd970a483ad261f746b416d8328e49c4ec4c742d984b1cc7c0326768049b41a55_1', 'f54625bfd132e92b494b1f618e26ba0d70f31ff0a722f1ef10c2267497bcc2a7_1']"
-1.0,0.0,12:00 - 14:00,2,"[253.0, 348.0]",0.627,0.792,"['543ee722b466ff536e51afaafbe3dba314e549bed310497d862effa81d106342_1', 'dcc9c41ae73173b4628ec9b7b8c94b3efdb2923c8cb78213de2562fc79568051_1']"
-1.0,90.0,10:00 - 12:00,2,"[135.0, 160.0]",0.043,0.208,"['507b9b086d37eb16a1908c4bdfc911813e5413dcaa8633ca9b68a0c4565158a6_1', 'baaef90a9da8e73f7b302908ddb0c8bd5b590a573d528134448923609d05c0c2_1']"
-1.0,90.0,14:00 - 16:00,2,"[230.0, 431.0]",2.806,1.675,"['0ebdbfd2b793cffad221d46bfe6e9bd3b4e1037526c8a1a9074d8f2602a46ee9_1', 'bd99785150a5a48b492d5a0e6a6e0a5ba3598c3a937e3e1c0ade0ad600153f7d_1']"
-1.0,90.0,18:00 - 20:00,3,"[205.0, 322.0, 310.0]",0.767,0.876,"['ec8dc4263bc4c2d895c14ea6ca9b21d88517cdb39147ede2c04e03fcbd34358d_1', '6333c5e118300ed5c0b222380168e576e41f770eaabf335d66ee5109f0e92e8c_1', '8a7d1abc523cc2b8db2af0b098abeb86cd0e287d8ae4e48f0dd95ec1aed35723_1']"
-1.0,430.0,16:00 - 18:00,2,"[245.0, 160.0]",0.502,0.708,"['e4bb623377e75bb1db7c8087caa326698b8e87ca77bc9b9bfa45b79519b88d92_3', '20e3113a17378ad4c0aab6042f9dd867704cebf38f485ea5e8a70f8f454c0d55_3']"
-1.0,478.0,08:00 - 10:00,2,"[1103.0, 493.0]",25.84,5.083,"['470f1b8192c861639658db66905118827b0a412a34453e1e84f4d196fe01c210_1', '6a395d66ef4233830c747fdb84e74dfbd7eea03b2036b16bea93fabfad395a21_1']"
-1.0,478.0,22:00 - 24:00,3,"[765.0, 425.0, 215.0]",14.265,3.777,"['f4615ad6a0069d406d0ab7c2ad93c789f34fb5a880ef206d58d8260ffa46b872_1', '6e5fb2a7cde3a57c147427c0a9b8242bc9b716891482da9f295551635e8a88c5_1', 'fc09ccd985f23a23a4e6b7a2527bec4e89e30edc0d15a7013b629774c1d6657f_1']"
-1.0,621.0,14:00 - 16:00,2,"[195.0, 354.0]",1.756,1.325,"['95e1727a33f91224fdd449f496791f113815dca2a88450865e8186c2c0e73d9b_1', '77ee2eb6c1b2bb712bc0a8d2712e67cfd68095ea8173d2db90652b8953e1c846_1']"
