start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
0,20,10:00 - 12:00,2,"[197.0, 362.0]",1.891,1.375,"['a7a33607e5e86b5d33d2b5d3325051e3a0bef312b3a106b69dc6805d845d7346_1', 'f2b10edea4425e2aef6d87e8f9b76ce984af92daedeaedc1b33416990785d937_1']"
0,20,16:00 - 18:00,2,"[485.0, 284.0]",2.806,1.675,"['3b1470307b6970d17ecdcdec9ea353765e6e7e02052c74388b08f348c1a61cec_3', '56ece5f4fbb5a3b4975f7cc12e18654696ed9dc74007f8178a65b374ed962305_1']"
0,29,10:00 - 12:00,2,"[590.0, 725.0]",1.266,1.125,"['f3bb0d5787d244613d9eb5638e997640cd6bdd8ea30f9dc68cb5afac667b3a53_1', '11e2fede5af88e0389410389d4f0430da25771016a6b46002dde01c5a19029d0_1']"
0,29,12:00 - 14:00,3,"[292.0, 385.0, 240.0]",0.999,1.0,"['f3283d73e7648a43b371fc606adf04be0049881feb6a5f24868121c44465b3f7_1', '9dbb23d42cab7c76f505202a91809fec6120385b9473410a1c45db37e095378d_1', 'ee1942b3b8475b25e6cfcaf7c62d13513849942be0d762d07655fae710c7ec6c_1']"
0,29,14:00 - 16:00,7,"[455.0, 449.0, 339.0, 275.0, 612.0, 245.0, 240.0]",4.542,2.131,"['686d322481792dc13155cd29d80456ecf8aa56cddb2e22daa57d48ff09d35145_1', 'ce3d0e8744bf78636ff27154919958cdea30fd4abe15395a3b23c1fee363da2a_1', '4cfc7c56caa7311ef60898f2d66863562a8faed517b28e67460a5e4fdf8fb9d8_1', '9eff2a29dbcef8939cc2d416fc6d8912482e10a5e34dda8e7bf91864d9c5e671_1', '347f8e01db674df3f89da9be705927c41995da5d0a00ad945cb879a0e4db0979_1', '60ab91ffbe10893c616ed8852918b333630675faca169b4de9703ea7449a1581_1', 'cf9cb723bf11f341029ed04f250cd8a3f82cd56785659960675a9fdfc2f3ab6b_1']"
0,36,10:00 - 12:00,2,"[680.0, 989.0]",6.631,2.575,"['5749121911b1bc359b4a094da553e41dead4abf2512c47402757779be3f1361c_1', '5b7c2854230183dc25b469f0521b5ebf32bc127e0a8009aa04e60714709ef2ec_1']"
0,81,08:00 - 10:00,2,"[327.0, 215.0]",0.871,0.933,"['592b3366fdd591835c5f47388d3998750c841281575f8926b5fed89bcf5f4b7c_1', 'c9560dea6a6e325a6d97b280bd380b505b21b3a149531f9dc41c681723d2a42b_1']"
0,81,16:00 - 18:00,2,"[269.0, 363.0]",0.614,0.783,"['5a97d444c54400dc3b5bb1c4dceffe7e9e4177e14982474b8f62fe8cee7fb843_1', '5d11a47acc62f442f30549f316d03e6d03f0e4f1c8561e6fe4bc7861f768b4e4_3']"
0,145,20:00 - 22:00,2,"[660.0, 70.0]",24.174,4.917,"['2850971fb96880c353018fc6782895962f8be17783b5b8ec3ddebefade9bd92b_3', '5726ebe8d7bbaca44eab27bbec9f6f4b08bfeab3247773721011c832f3c93941_3']"
0,178,16:00 - 18:00,3,"[145.0, 285.0, 100.0]",1.724,1.313,"['7d7647d5928503898b9486f6a1674c25f9705f19e6116a00354442153429b678_1', 'bc7ba190ec3fddf20ea688688a3607e00b09a0c233aef117b919b8987b0a0af2_1', '1b9b706feea4bc84fbd3200754ebc2b1bc5c865d4ea8ec9980f402e02e3e0340_1']"
0,178,18:00 - 20:00,3,"[195.0, 530.0, 250.0]",5.977,2.445,"['950c5f3ac2cfff6b8e9c2fb1618381870a44edf1bcbe67a7c6825d284c6457a8_1', '5ad847860741f1b261800a43138a744e52ae1c36506f14019317ca8ee104defb_3', '64e7aea48b734d61c08fafd4932332d9ff323597dca69b4ad33bfdb93aec33e6_1']"
0,248,14:00 - 16:00,2,"[480.0, 371.0]",0.825,0.908,"['3afe8c1d6f870ebca21300a96ba8c21645dd9390d2f95202f96457dffa94e88c_1', '054a3cde20721c112a6b43a9123da2eaa63c1ad30f0c09ba66f576c8df839a2a_1']"
0,249,16:00 - 18:00,2,"[203.0, 315.0]",0.871,0.933,"['0a2b72f1d6657257f1582763c9d1b920028e4fd787381c36446b0115d488c89d_1', '863c9d351f9727997debcc5871b049c2885dbed920d34a389222399cf27730a2_1']"
0,279,10:00 - 12:00,2,"[496.0, 120.0]",9.818,3.133,"['68a58ab51c52d5a8decbfc15040ed5cc515449851c83ceeeef4c9ce883f1953a_1', 'c2e229ca9a7f47ea1a9dc852662e36f40e3ab3e3e254a720bb91c3149948c0f8_1']"
0,279,12:00 - 14:00,4,"[105.0, 209.0, 563.0, 245.0]",8.124,2.85,"['3207880363aab48440ebb6388329e46dfde2f212fe06213ae98a59ae10b83ca5_1', '55779a6a89bcd21e1b240df6a14516079d218ca2c0c4b457188652cc649620f7_1', 'a8da16a5701ea4f838ccfdb8dddeb66f33d5915b2cc1d4549ea43bb90ae951a5_1', 'f37f57fd4b6426c3d9d49746ae95e7e98d69abe6219db373638deab40a75dc43_1']"
