start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
0,122,04:00 - 06:00,2,"[175.0, 355.0]",2.25,1.5,"['bf9985a9d1a8826ebfab36962f1a18629f94d66c3aa27aa99f07d9003af55b60_1', 'ceca23d77b946f1a649ba9665c3258993a792ce9f63ab00f4a82d4813992a08d_1']"
0,122,06:00 - 08:00,2,"[536.0, 195.0]",8.075,2.842,"['59ddfbc387801bd781da245109d90d6460c4c06203285bc0e49a6447fbf5cfb4_1', '691550cff9b02c0073443c5f0f8b50182062dc3895bc6c740a6454e6b0427e7f_1']"
0,220,02:00 - 04:00,2,"[234.0, 185.0]",0.167,0.408,"['986a19b1cd7404a67e711aefc6e216e2d96d3f6e0bcb7cf01a6432519dea9665_1', 'd345f4e60f8f73cf84adfaaae29325ebd9e8912ba7aad838171192658964f738_1']"
0,298,14:00 - 16:00,2,"[240.0, 327.0]",0.526,0.725,"['797138939a8747108208f72b3722640c8113ef7f6e0d380e49b173caf779f1e7_1', 'ce63545ebac5a836c727fdfde3b7be2e28c4944619737f1dca5e3de1892aa73d_1']"
0,298,18:00 - 20:00,2,"[180.0, 81.0]",0.681,0.825,"['4003a3bdef154b13578c12edcfb7461752684ce8e65ab34c958a7ea498caa264_1', '7187b1b3815dca654fa6905cdcb885ebbfebd9670a43c0d5ddbbb4612fa47281_1']"
0,364,18:00 - 20:00,3,"[200.0, 120.0, 110.0]",0.451,0.671,"['1dbb1e3a0db2d7379fb86b79688e8f9aaf28447cf5c503fd4e5d54726171a0b7_1', 'a3094ce70f4cd212ad9d2612110bf19bd5df8d7398a672d3f0ee8ec5b206d006_1', 'd5140690068d8f2ebf8a5016bc40d34964d3a7093d2f64d3819dd2314fb300e9_1']"
2,155,06:00 - 08:00,2,"[146.0, 195.0]",0.167,0.408,"['265aa5e71afa439dd230150b5285229b5b78fd053ddacc420854f6886070f3d9_1', '93f4e098c37a79adbf2c76cb8b58e9d15ce0a78ccb58def4fdc351fe1d488cdf_1']"
2,155,14:00 - 16:00,2,"[95.0, 655.0]",21.778,4.667,"['92607d5d409434133d55f58064f564ebb48da333213b51745d21124fa9ec2292_1', 'b47f14d13b4daef7258f141a1104b8b818d0679a408e719d8a3853772747d645_1']"
2,155,16:00 - 18:00,2,"[220.0, 130.0]",0.562,0.75,"['336645abef334a859c3ef424af3d7892665ab3c90e72327fb042161b4fffce0b_1', '8f42c354572a24c65f7e050a11fd79840ed0050411fac5e8a071a83f38b517f2_1']"
3,65,12:00 - 14:00,2,"[635.0, 439.0]",2.668,1.633,"['88cbfdb4d3cb14012b48762a23977d9190d1ef823e35839d3f552945392e5a5f_3', 'f746b9b870fb8d729d1e0966c8a61f5571165c1c0bbc51d1266f9c325aad009e_3']"
3,89,22:00 - 24:00,2,"[669.0, 671.0]",0.0,0.017,"['070763f27959e256bfd5fc3a3714926202aa22b271fc35a2b2ab21d234ff5a21_3', '999a710a14f5265da765e41a8c6e509d3570114f7921d5fbd2fa99bf48a91bad_3']"
3,114,18:00 - 20:00,2,"[340.0, 378.0]",0.1,0.317,"['17f190f18f99df22abb1c77bc8a12cc2275136a4ae6cee168f37fca4af0fabd8_3', '368f52ad9920c5d95c03dcc469fce1fc92cac221fe763980fb2dd77916dfb211_3']"
3,118,12:00 - 14:00,2,"[1129.0, 764.0]",9.252,3.042,"['2e36a2c9e5381c82de7f4aa5f5c3e0d902baa399d227396fba73ec493bdd12e5_3', 'd4db956c926952fa248aac55ab83bd06b06b43e6bf27d8c750e728c2082730f8_3']"
