trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id
024a72f2fe0d48f721f6a1d15b5ea5cfcd7d2aa75bba09263ec124e18273d099,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
027fa0638eb901aa8b4fae80539feef4ffd3f44603e65189f7312abed12a2df7,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
057d6c287ec3b1d2a624b4a4eca42c03da0f8d6dbd831bab20020b5f56e11afd,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
062c66241cc70067a2ed0be875d8782208996495905a9cd50e0a86e78902a958,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
07139cb45173909a84c54f082c862639893b736bb120728f2c4cd92b4d8c9227,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
09581c964cd46e698443acfea90e6708e3eae2271691f400c8daa889c07fe3ae,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
0bf9e308d0524dc31c5cef5e39b5df5df874ebba93b4b635e203242ecf79797c,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
0d024a779df6af79413a7d16ca97d38987f7667449b26fe2fa91975d7079e239,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
11dd4235e0cd56a775ca1b8dd459173ecd381cf5b4da2e499097510004680404,31.989,35.933,32.003,35.939,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
1b812d2f81afc7a607a7179aaf61574ab6dcec1bdf19f34299043ed75cd157ba,32.003,35.939,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
1d55d075511ea63cde01301070130342cb7bd3231fb8646f7952b79aeb832337,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
26f3b55aa5abc595df0ea27879935a517bbf5346f08d8714ce786f12cf597d74,32.003,35.939,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
279df35d479c381267016c62bab071fc71b1490380893d7c19055494aaf2c19a,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
281c4e23eef32b2340d8880694335422467b00e995106d5901bf88f40db4af2c,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
2a1dafe574e34f830a9fbe786990ab0f5a138bad455e56d62e37d47492dbb789,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
326174484a0bd7987ac60b68fbc10d8a7a9a644f105d652827df7ecc187239d2,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
419ea886d7eb4d4300424af280dd72ae374214519a6d4f4ab69433e57b2f02b3,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
47c27c04eaa4dbb9be9265391e81df15dc8f2c663e2d8de19eb1eabb7c83a9cd,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
4823c8f4e83bf9b91fc57df040cea983d56477b92ce7ccd1fee2a54e13faed3f,32.003,35.938,32.003,35.938,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
5248ad26266ee8a1cc4b07bc6c7f2e3d27a37eb4831a9dbb56336eaed0b6cbeb,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
5cb47a72ea2385a1907fdd80610489bc6ba6db4cbb4ccef948bd4c2663fb6b45,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
5cd0764cb1f770b1d4ef3e5dce1f140250d785e8eac0007ddd1b7c5960c30f0a,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
5e26233ed877191cf25838f41098d354340bf854ba33e936144b6121b1c1c23c,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
613c6a0e640119aaabc0522f788d21c0389cc73f42cf42e32dad0791e26e1577,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
67e72ca68bb75e0e7eb8b6bbe68a96159088054e7aed9ab95893b7388c3d1a0a,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
6986909a6570dac067b07a608a63fa24ce8e9e754dcfb24e902fc55d6f5d3d06,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
72e76f0a0a13a46e66f324cb7ee8a8a4248c84ff39ecf9bb6f338847f5a366e5,32.003,35.939,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
749044c5e88e94ba3130550b32f4a41a033e25ae23fdf72942e2724fdc088212,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
76ac6611d6e99e80ea2e2e8336ee769eb1282f76167ac51fab3959e62c5dc1c1,32.003,35.94,32.003,35.939,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
780aa09292ba3c8c435a3b1ce924b239515009ea0bb4f92aa48a5b457204206b,32.028,35.905,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
7823e86641d57df35c5ebc78e71eabccbab5c9bf643e4c3c3423f7afbc8fbba8,32.003,35.939,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
