trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id
3ec1677ad754b9994207b06801c9e976f0a0f8c87f217c103c98b3f90f4a7ee1,32.023,35.875,32.03,35.878,05f855e370034f6545fdecee907e993e73157b88197547050d9b44079ba8c355
41911c45692e528e40558562eb6ea19074fc72d717cc7fc35d904d2d1cdf1d64,32.023,35.875,32.023,35.875,05f855e370034f6545fdecee907e993e73157b88197547050d9b44079ba8c355
438006de401f73735eb9b53c89152328962f7604916b469264abeb8670c75fd8,32.023,35.875,32.023,35.875,05f855e370034f6545fdecee907e993e73157b88197547050d9b44079ba8c355
887d9ffe994233ad2e477278c2896ef5d13d4e7eeff1be4432e6309c8339e3cd,32.023,35.875,32.023,35.875,05f855e370034f6545fdecee907e993e73157b88197547050d9b44079ba8c355
b840d30a88899cefffcc07857df3027739eda47ae41a672c3e1a515088816bb3,32.023,35.875,32.023,35.875,05f855e370034f6545fdecee907e993e73157b88197547050d9b44079ba8c355
1956f037af9f7907423cf23eacf1cf6071f0e3d19b97f2532f2dff2f2fb47f15,31.996,35.834,31.996,35.834,0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a
203b7841f814858f1eddba81a80c4dbba6aa0df00718fc20de09c142dbda7955,31.996,35.834,31.996,35.834,0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a
368d4c38623ac6ff184637810fdc41f2ea5492dccd689cc13a10b9fb49c8ea2e,31.996,35.834,31.997,35.841,0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a
43d5ea2e33bdc3a7518683ea6b49d9ae28c7110ecba9ece7447931b677038434,31.996,35.834,31.996,35.834,0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a
903e8dd892a94747cb5d521f43a8fc5521d479ae3f2325749d49df54dc9f83a0,31.996,35.834,31.996,35.834,0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a
cb6e006c8e68dcda76fff8bf633cca7f294c6658429a010b41bad5873ba5fb93,31.996,35.834,31.996,35.834,0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a
ef2b26c06774659d5df26efed4b3189171f60ab192b4dda0de321995df2b1f5b,31.992,35.869,31.996,35.834,0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a
