merchant_id,non_majority_lats,non_majority_lngs,group_size
0016fcd6207e1024e67d4679502c29d9588b8a289ca6f71f29248c1235f871ef,{},{35.892: 1},5
002225f0f3a28cbc13591d70a1ec6ac3f254ff0ecd9c9cb0ad5e15d63bfff0d0,{32.027: 3},"{35.856: 6, 35.858: 2}",62
004af377dd4cce3fd9d97a296892c55e79bed133ddb62fab36dcfcd44bced125,{},{35.868: 2},49
0083c5defc22769e7e35a5966fbef22324050f611eb0f594a08a1ea8b1aef8cd,{},{35.847: 25},72
01427158703e37aafe4301e3e5d0fe6da6949ec9b2c43d66e699b7caf2e63bdb,"{31.941: 12, 31.938: 1}","{35.887: 1, 35.889: 1}",46
019f4480ccdf47b8668f9b5bfed21e185b1d502fbfd448247a687820275f84b0,{31.975: 2},{35.846: 36},187
01a8dfde4e30d306a43521b2179b946fd0cad32f71af7b4b084623195584aee1,{31.957: 1},{35.857: 1},12
01f60c996b2ab73b0f51fd818f3ddfb20adcbc3fa7b2ea5232168eeefc9fca7d,"{31.957: 5, 31.959: 2, 31.982: 1, 30.084: 1, 31.949: 1}","{35.868: 23, 35.866: 10, 35.997: 1, 31.352: 1, 35.865: 1}",451
025f84237e0758dc3ed36782e44d3482b0c064beb291b828330d5c7d6759331e,{},{35.866: 2},5
032cf9bc9204c429d2b247a0b8dd3aeb9d38520ec04005652bab498e140dcb2b,{},{35.843: 1},63
0350618ba36398bda6611ac0fdbbe02714096336232b6aa3662d17f3a5610757,{},{35.867: 1},17
036149022aa15663a42eb77043d7c434e140075c37eede3c03229e426f9c99cb,{31.973: 3},{35.841: 1},13
0509491ca75681e3e09c62cb56547535e2f721f173b6b993ca9663af3c2c48be,"{31.963: 3, 31.965: 2}","{35.907: 3, 35.909: 3}",46
05d5d48bfaf597eee0128766c6b67c47c91b2604dd75861c3fc59a51f2232b55,{},{35.835: 2},45
05f855e370034f6545fdecee907e993e73157b88197547050d9b44079ba8c355,"{32.024: 2, 32.03: 1}",{35.878: 1},43
05fac777cf224944bd65a4541767b03f1e7bcf28d2cac0db594d4052bcc283ac,"{31.989: 38, 31.991: 1, 31.988: 1}","{35.873: 7, 35.871: 2}",180
0635f8ca09ca6267bba259c14e73be544aadcaf7bf566f7acf9b756c953ea36a,"{31.93: 8, 31.929: 1}","{35.937: 1, 35.935: 1}",28
06fec46626a230f8b4bfaa7c8bc19b1e7cc14dd3f98931eae2466536d5045aec,{31.977: 1},"{35.884: 6, 35.888: 1}",25
073e699d212939f0138551a1e053bb9fc13cb386c212714b842a430abc61267d,"{31.908: 1, 31.89: 1}","{35.853: 1, 35.848: 1}",40
0777c38b42aa7225594b40da205985a2388fbd4f58c9c28d4bb2e4759965f19d,{31.984: 7},{},18
082c07e5e134592d2ecc80428d502a7a88acdf83f77974a78e696bbd6fbbea67,{31.891: 8},{35.861: 1},20
083fa47bebe0a9cadf1df77f080e065fe57ea47db4441a2e6598370196408e28,{31.95: 1},{35.922: 1},24
085aba61b57ccc7b8d45d70579cb5746c02c7f0c769da8f0bba89cda76387cd2,{31.948: 1},{35.865: 1},6
0881ef208a14a2bd4028144c2cb486a7450f65411fc2ef98287c2e28aaba5384,{31.998: 2},{35.853: 30},66
08ba33be1e1156e3212bbb1ae0ea53b21e9045804c589ff3cb954d431f482546,{31.949: 1},{},3
08f3dd6f1ec35320b0867223600ed0eea4d34a8719515906d10254c41c533f4a,{},{35.885: 3},22
090aa040161b4585b92fcaadc868113ea804a7e27cf7a224b7233ecb94ab9774,"{31.957: 26, 31.96: 1, 31.956: 1, 31.966: 1, 31.962: 1}","{35.867: 22, 35.866: 2, 35.869: 2, 35.865: 2, 35.87: 1, 35.856: 1}",512
0963bde85f0898d4d932ae320742ba80376ad5b1ab7596bbc1de1df6e2e0918a,{},{35.843: 1},30
099f72106e06950bd38b5cbf6b93a58ed0482164dd3d4674efcd3f4910a786d1,{31.98: 12},{35.846: 7},31
0a4eaafdfee31f997b74d917c3d745bb55669aa3c9989750a7dbffcadb0d9508,{31.974: 1},{},8
0acc402ac53aca152d61edd538353965eadcd6a8ce572d9bd6b90a442bf4da3d,{},{35.856: 1},14
0ad339b8f4bad36c2c7dca2167f9c4da9f8293c042b9bfee5d8f1ed27191ce6d,"{31.981: 1, 31.979: 1}","{35.836: 1, 35.838: 1}",19
0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a,"{31.995: 1, 31.997: 1}","{35.835: 2, 35.841: 1}",47
0b63fdb710d5d4f12a086ee4cdecae7e232cfc8e32294669d8f666b7e454551a,{30.084: 1},{31.352: 1},9
0b75015639892cb7096bea9a7bf47cc62d9a645a3695da7f0fb2eb77dacd3b0e,{31.973: 1},{35.88: 2},38
0b800e8a6b07e5798de8ecd1dc43b975cc58dd933a7f2362d7a06d4c6111b138,{31.965: 1},{},109
0be1b769810c143356c2ba79e279e0400cac98d9b151ca8ab8d6821ae0ecf1f9,{},{35.921: 1},3
0c0687d6ebc36d419d0515f200d8d42ea38422f1c25e099da70f5d785bbdfd1e,"{31.957: 5, 31.965: 1}","{35.856: 5, 35.857: 1, 35.854: 1}",142
0c0908e5f60057ae03818e606296caf66f5e0f1233f8ee019714ea091b461094,{32.001: 1},"{35.83: 3, 35.832: 1}",33
0c51c0b49a1076c6adf0ca6c8843963ca79eaa292e2e3175d22831f73606d77d,{32.001: 1},{},3
0d2c3ead04d9ba8cbaf6adb7ffd8b82344859dd9915ffd29e8c9fdf840b3761b,{},{35.87: 1},4
0e56c95d678e1d477e457a86288dd111cea834b6d8f9183227b86645774afc8b,{31.914: 1},{},4
0eaa1cdece68220c4dcea9e85b23ff62d4db2acfff2292f51212c740145a556b,{31.969: 19},"{35.899: 13, 35.901: 1}",54
0eabd56db21086dc370eadfb2498a09ff259d5b37b5f1093449817c8eb321c3f,{31.964: 2},{},10
0ecf46b6ef4ac5bfabab3cf85933469c2639a5932bdf02ca26e56534017abe0c,{},{35.868: 2},60
0ef1d1f6c68d655e152fe03dd4b008ca04748b329a3b869c7005dd6fb829bfde,"{31.956: 2, 31.957: 1, 30.084: 1}","{35.868: 3, 35.866: 2, 35.841: 1, 31.352: 1, 35.863: 1}",115
0f4f184d396500a6b7e9752c3bbdac9aecc835699800b5127ec9b360639b029d,{},{35.852: 1},102
0f576f8004fbb125c220cb1f6369d87cf8b1a68d2f7853e9156d88ff9b8516bd,"{32.002: 2, 32.001: 1}",{35.794: 1},31
0f5777992c4c4bc9bdcfa6d4d7d5bbb14f30bbfd1da5c1dddc604c61951f0a73,{31.977: 1},"{35.854: 1, 35.857: 1}",37
10be68b8969c5229a2e1e694b4d4a43773f508f9ad189dfe82085befd1195f67,{},{35.915: 2},11
110cedc8c5944def101659c59e2d55be158011de75c4f9122eecacb061d7c42c,{31.955: 32},{},67
11683fe32fbe2b280e97a47df3433f8cf8ba4a8fa2fb97e2c8a6ee32ca10a40c,{31.941: 2},"{35.884: 1, 35.886: 1}",46
1281b8cd45ef136a4974f33be1e7d1158e68c8385ef702decc25fea774f57713,"{31.898: 1, 31.887: 1}","{35.859: 1, 35.869: 1}",30
12a8958e771c8e4f1727963db02a49929df40ae6ca9dd2fbfec3b8ce367645d1,{31.979: 1},{35.844: 1},11
12e4c1ef38594173a25a467eec0c691bf226ad6685856a3270df7c75c9e37dd1,"{31.995: 19, 31.993: 10, 31.996: 4, 31.998: 2, 31.992: 1, 31.98: 1, 31.983: 1, 31.981: 1, 32.0: 1, 32.008: 1}","{35.87: 233, 35.872: 3, 35.868: 1, 35.865: 1, 35.869: 1, 35.88: 1, 35.882: 1, 35.847: 1}",575
13096f25280fa44065b0cab1c820d0acaaf17e4b234afdfa8df78698c20c6431,{},{35.928: 3},20
1335d715b112edbfa6c588a1e6fa572d8d0e9a46184a3fd515b5e9b69b90680e,"{31.998: 2, 32.001: 1}","{35.868: 6, 35.87: 1}",83
1350d0ff5197c0230b2af7cd498e8f661a16b03a636f3da0497e59d570ed729f,{},{35.848: 7},16
13562abfe075125d346a15f2866a1c7bb9ae6a3918a4c9df75968ab398b86a88,{31.993: 1},{35.815: 1},7
14086429be57dc898e0b92b8435529d8ae27b212066581a1419f65862989493d,{},{35.833: 2},6
1433812467d66feb14357a3afa19feb1ddb76cb0b6e6203f1f589e99619243e8,{31.989: 1},{},6
1448c5d8ed186a3e4f8c962fe774c684c7244abe5f8c0b4d6c07fbda0f74fe13,{31.979: 1},"{35.836: 1, 35.838: 1}",5
1469b6f7eabbfa86033ce8c325937232a2183a803be4f2bd0d4558f5c07343c9,"{31.963: 1, 31.965: 1}","{35.909: 1, 35.907: 1}",9
14c884a9dbe9cb72f1a004f35f3b70c0f702d0ebd601d9ead112074c11e1fffd,{},{35.834: 3},16
14e184bc5cdfd734224ddf70efee63bd95a29e08da45f8fe701a8ee9b8babdec,{31.977: 4},{35.946: 1},38
14ffbbd78b21d4880f78bfe26e3b30de2b98060c09263ebe3aab617a1e828a18,"{32.037: 1, 32.052: 1}",{35.884: 1},41
1501b1922497376a7378a67805bccb62e97ccbf1399be7e1897db0eb72a8223e,{31.952: 1},{},23
1540deb8fa7dcb4f9a3f55a9a569156eb4991de569d9221b6b048836fb0d7598,{31.965: 1},{},5
