trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id,distance_km
000e874d4760fe8abee13dafdfbaf304ad4964a7f2f2e7ede42db516dec685d7,31.976,35.947,31.976,35.948,6e2e4729bcdcb93a8784cb782774c6efd8ac14c0612f99a6ea2de322cc834749,0.09432331973625376
005bda3270ea904260295e1ceba7d4d88f86f3ce251dcaa2e48e8e710c12ab97,31.953,35.932,31.952,35.932,bc45e3a62694cfa1be783ca28ba9ccd88c09f6b5a68d3d03bbbcf41ab92e81f0,0.11119492664426892
00b199b347c7395fd4c6e137ec23e1f9c12bc2269c66da6bd2022ee413e696ea,31.915,35.912,31.915,35.914,700bd6346fc71397091ada180f4993649a31902174b75101282ae569ff121fdd,0.18877191609906702
00c56a189d06ba9935e7f5faf23adf5e6f1ee7822ae83738f71a1c6675df8b97,31.966,35.872,31.973,35.841,ca01d2b6691ff841a4cd39c71ebd0e0f9b8ed8a8635fa33dcf34a92a10476e9d,3.0260489382624103
00c7be86f7d167ae506402a77b0d7fecf1b65e3a06e947f69ae112006c5bdeba,32.03,35.872,32.029,35.873,1ffb3df6f15d43edcb9e8abd414a0d3436e783e25d42bfd88438d6acb55a28e4,0.14577662063734334
00d0fe1a1e92c9bbd268bac976b989660f3a50904186478357385f3e55fbc7d2,31.959,35.858,31.955,35.854,c0cdaa6b25f67b7d8427adfca204e55b3fdee08e82517cdfc8d7687235c1050a,0.5832993529190308
013d619547512596e019d5746cf52aac745dd34cdc52117aa1fb7e179c0da803,31.955,35.855,31.957,35.855,e9dba76c4f218b96ae490d3f7e7dcc32c09296c7a0d157fdb3ea04283a3dd197,0.2223898532892451
014b9ffd85582346240def95801a8565c0014a9f53ffa8635ea1167c4761091e,31.895,35.864,31.894,35.863,c8eca5cee65c6aefa5f15663fb40c5622126a11b06c4d8ef981986300127a74e,0.1458663444919304
0212b0d784e79f5bec820a1fda1b08e588a46ae4aba536bf04999a965737c41a,31.994,35.87,31.995,35.871,12e4c1ef38594173a25a467eec0c691bf226ad6685856a3270df7c75c9e37dd1,0.14579990753587732
026874174bfd79bf39eb7d58c5c68f2ca78998422abebaded0c1a855c9a81d4e,31.994,35.87,31.995,35.871,542d7df6bb2198218252949af78466977556e55219d618b16ac651813872fbab,0.14579990753587732
026dfed8a1cddd8416a7f10d8936f8223c6eacc4d6255f97800d37aad845001b,32.015,35.868,32.015,35.867,792a8299eb5d9a482c77ed82d62aeec320984fdbc1ce1fda79ffbe25c0193f6b,0.09428321625730895
027af5a71207243d70e985421cc6cbdf2ac776ec910da1bc673ec425b9c87377,31.986,35.918,31.949,35.928,e832ef34b0d45b857cec690783718c50f07aaf8e31633b916a6bfe5fff16bf71,4.22097101563214
027bfe893b87c9a0fc2f0d4f2764148a10a77324bb44c84c6cba340e72b93104,31.971,35.897,31.972,35.898,2e682642d5d71549b2266f71632cdd3aabad25144e3d16a791ba132d06212bd5,0.14581520077633314
02b956d54997503a9e185001ec6c4db4c2a450ea8ba7695925e3d815af083e76,32.029,35.871,32.03,35.871,717d7fab10a88053c3c2425a2794a0112a855cb6e9739661ce8cd721c86f9b45,0.11119492664426892
02c04111105f615eccf271c2cdb6e53b396d18fcfb6813fe3658c4242c4d1c41,31.959,35.865,31.958,35.868,9c84bfc8adfe5fcc0637a8e559e5888e1cc71e375d584d2d21b42e1af69ec658,0.30408360829744935
0306f5df17e9041e39a514222123e63382bf035bc6919f45462c3fe27b17e2df,32.029,35.871,32.029,35.872,e9ec10449a78a418f4b9124f4a99792c86720ae060504a2b0d37492e1053e567,0.09426880947964339
0307730f5edecb3ea8e5c78d34452f8a6be88cded250ba364c2138f47b0bf2a2,31.964,35.857,31.965,35.857,3febb13542a6c6c194c9f2c069b0fa1edd75e41ca9d53caa23c3cb50f9896c6d,0.11119492664497624
03217301980567655d4d23dcf9ba1a494371d1e9a852679d9e8f766ebbf36c51,32.029,35.864,32.029,35.865,230ac3480dc18150ed2a77604500a9cd83cff21dc30d694ae7ee95554d5ef1b3,0.09426880948024305
033bf97ee9ab69d74cae2b941cca6001c0b62897e4fbfd599df2b0fd128fdd60,31.95,35.884,31.95,35.885,425a7e78825ecbcc611a7910dad63db159123c63d475fef30bbbd1d2bc36a10a,0.09435003111144578
037cb3f62285a7f581a220635225d383a08eeb50fe2c73fec2ad4c00e4b42831,31.949,35.892,31.954,35.884,236a8bc9e7636ebd8fdddd7028caa3667f3c95cb7ea48d5a66dfabee2f0a7f4d,0.9374500536874389
039a3a695c6ce7349d05c803a0847e08e900a0941b3953e3c2f1ba32d8b4de6f,31.965,35.906,31.964,35.906,fe4dfff1f20aa9ce43bfc6260abb99ee8d8c5bcb0f78de9ea0ae608ace58c026,0.11119492664497624
