trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id,distance_km
000e874d4760fe8abee13dafdfbaf304ad4964a7f2f2e7ede42db516dec685d7,31.976,35.947,31.976,35.948,6e2e4729bcdcb93a8784cb782774c6efd8ac14c0612f99a6ea2de322cc834749,0.09432331973625376
000f7f49cdc2c6c7c065a664d701b1e7e8498fdb42e04ae75d8ce59ae9209f8b,31.958,35.868,31.958,35.867,c7eb59e435f52870382322a2d259647f7b0c43f585191289577976d2c7109538,0.09434181429644382
001f4a8d66681721bead8b8d279e99020314facd7d79de02858635da534a0b9f,32.003,35.937,32.004,35.937,526cfd880285543817b2408e665eba3a435bc3b2eabde322d245702fd0e803c8,0.11119492664426892
00250031f37fc83d23af9171e89fd843bf45408b1bf1c8af732b4ce47bff6546,31.973,35.853,31.974,35.854,8f1c898db7a25bf03e46bf64afab20eaeb426519094be5e879a97de1f1630b3f,0.14581387123022646
0027fdc96e36ceef2c2dab9d539a7e6881f635772c330265d4e201900dc9b719,31.979,35.985,31.981,35.987,45ac092e11cb9699191e619eaa332d53ee9be8d0786ec6f8de8081009b8af911,0.2916190996121368
002c76d42b5281195df6d2feccbaa4e577bf4c89d40e710ec54604a483ea3483,31.953,35.942,31.953,35.943,8c5fb9f61f180dcfb29eccbad6b8d9eea2795063e87fed1e823fdbe013b93ece,0.0943469500211414
0036c11b560642ccbc548b84b9be30676dad19e45b5217e654c97885b426f102,31.888,35.826,31.976,35.852,8996db9d16b66dc5ac1fe820908c91f83e563aabf7378d3115dfc4b40b5d1b99,10.088076555289083
00496b403a02924b31adbe2f579d4fbb5e7d558162199d46b0ddc47651e65961,31.99,35.903,31.988,35.902,bd29c9bf59543e0dcfe00f9665f9bdead5ce481e122587849adda19a3ea53b36,0.24156078901385472
004e01ba817edc6170611b0764773b9a53e702f999dc7fd0da00698faf4ea4c9,31.977,35.843,31.978,35.842,855201f6426c16a18706449da2076206245e733943d651ab80b10f1037efa9cc,0.1458112119677552
0053f3deed9fe8af7694bebdb77b1a7843c187244faf54946eac305b637558f2,31.96,35.862,31.973,35.869,91386bd0a742dc7d1afbfac25044160902c3e502bf3bec7523ad7d9c30f967d5,1.5892156750623296
