merchant_id,lat_changes,lng_changes,lat_nonunique,lng_nonunique,group_size
002225f0f3a28cbc13591d70a1ec6ac3f254ff0ecd9c9cb0ad5e15d63bfff0d0,2,2,"{32.027: 1, 32.026: 1}","{35.858: 1, 35.857: 1}",4
0083c5defc22769e7e35a5966fbef22324050f611eb0f594a08a1ea8b1aef8cd,0,2,{},"{35.846: 2, 35.847: 1}",5
01427158703e37aafe4301e3e5d0fe6da6949ec9b2c43d66e699b7caf2e63bdb,2,0,"{31.941: 2, 31.942: 2}",{},6
019f4480ccdf47b8668f9b5bfed21e185b1d502fbfd448247a687820275f84b0,2,2,"{31.975: 1, 31.974: 1}","{35.846: 4, 35.847: 4}",25
01f60c996b2ab73b0f51fd818f3ddfb20adcbc3fa7b2ea5232168eeefc9fca7d,0,2,{},"{35.868: 3, 35.867: 3}",55
0509491ca75681e3e09c62cb56547535e2f721f173b6b993ca9663af3c2c48be,0,2,{},"{35.909: 1, 35.908: 1}",6
05f855e370034f6545fdecee907e993e73157b88197547050d9b44079ba8c355,1,1,{32.023: 1},{35.875: 1},5
05fac777cf224944bd65a4541767b03f1e7bcf28d2cac0db594d4052bcc283ac,2,3,"{31.989: 4, 31.99: 4}","{35.871: 1, 35.872: 2, 35.873: 1}",23
0777c38b42aa7225594b40da205985a2388fbd4f58c9c28d4bb2e4759965f19d,1,0,{31.984: 1},{},2
0881ef208a14a2bd4028144c2cb486a7450f65411fc2ef98287c2e28aaba5384,0,2,{},"{35.853: 2, 35.854: 2}",6
090aa040161b4585b92fcaadc868113ea804a7e27cf7a224b7233ecb94ab9774,2,0,"{31.957: 5, 31.958: 5}",{},63
099f72106e06950bd38b5cbf6b93a58ed0482164dd3d4674efcd3f4910a786d1,2,0,"{31.98: 2, 31.979: 2}",{},7
0b62c19e598c39aae98751d69b8d1a5d59b2b06d40542f4489f89e49ed72ea6a,2,2,"{31.997: 1, 31.996: 1}","{35.841: 1, 35.834: 1}",7
