trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id
3b0f5b661286bc1611bce970d2b9141f24650839470da49b5145f661fc42fb97,31.896,35.864,31.896,35.865,37442e2d8b094c16e542523d51fcb5ce3a5ef36fa52c284070cf953233115f40
438571f4e59f91b0f2d16f8d3c3ae43adfc1087d8be76d1f15c6e175f730845d,31.896,35.864,31.896,35.864,37442e2d8b094c16e542523d51fcb5ce3a5ef36fa52c284070cf953233115f40
67b20d724be3effe30c327a554f7cfc4b2cdc3aa32a6a58e81632f56031842b1,31.896,35.864,31.896,35.864,37442e2d8b094c16e542523d51fcb5ce3a5ef36fa52c284070cf953233115f40
9865dd03f5c68d4d85baf3aaafa9165a4b6a8ba50cd3618061332ce1eacaadc4,31.896,35.864,31.896,35.865,37442e2d8b094c16e542523d51fcb5ce3a5ef36fa52c284070cf953233115f40
a4b092555a78a50662cc58a2c9b9821a05c15630a4b5e6257ca286493563ae0b,31.896,35.864,30.084,31.352,37442e2d8b094c16e542523d51fcb5ce3a5ef36fa52c284070cf953233115f40
0dab497715edbbc284f661581acafe328db9e162951604a7f1bde127ae01e2b3,31.845,35.883,31.837,35.909,3f838dcd84f83f31137514d913eaf1fada5d9857742ff4312b7a70f9d8e3c9a7
4d72bfafe6bf632b63a18ea235a550a8feff1119d48a81ad08bcb324025a1e46,31.845,35.883,31.846,35.884,3f838dcd84f83f31137514d913eaf1fada5d9857742ff4312b7a70f9d8e3c9a7
03a7cfd15f740636d6350482850b38d796f5d1ed2ea0bdc4de9b6683f5916d44,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
054f611020b3704d4a6cfb4362c3ec52398c04bd13b0fcf33412f552a2bdbe47,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
07ff0dcf1059351c24309e0fd24cb16a9d16e27e42046fcfe3f37f8aa816fbc8,31.953,35.884,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
0c03c6eaf37ba71fd1e64df1ecc60ef91f24ca74bcac9daaa621daa28f579f30,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
