trip_id,start_idx,end_idx,start_lat,start_lng,end_lat,end_lng,time_elapsed
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,0,2,31.954,35.875,31.954,35.875,10.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,4,5,31.954,35.874,31.954,35.874,5.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,12,13,31.953,35.872,31.953,35.872,5.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,19,22,31.951,35.872,31.951,35.872,10.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,26,34,31.95,35.873,31.95,35.873,85.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,42,70,31.95,35.872,31.95,35.872,306.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,72,77,31.95,35.873,31.95,35.873,24.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,79,82,31.949,35.872,31.949,35.872,15.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,88,104,31.947,35.871,31.947,35.871,80.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,130,131,31.945,35.852,31.945,35.852,5.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,151,152,31.954,35.849,31.954,35.849,5.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,166,167,31.962,35.845,31.962,35.845,5.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,173,176,31.965,35.844,31.965,35.844,15.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,178,182,31.965,35.845,31.965,35.845,20.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,184,185,31.966,35.845,31.966,35.845,5.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,187,188,31.966,35.846,31.966,35.846,5.0
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,190,228,31.967,35.846,31.967,35.846,241.0
