trip_id,start_idx,end_idx,start_lat,start_lng,end_lat,end_lng,time_elapsed
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,0,7,31.985,35.86,31.985,35.86,35.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,12,28,31.983,35.861,31.983,35.861,85.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,36,44,31.98,35.867,31.98,35.867,50.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,49,89,31.98,35.865,31.98,35.865,235.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,91,93,31.98,35.866,31.98,35.866,25.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,95,97,31.98,35.865,31.98,35.865,30.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,124,125,32.019,35.865,32.019,35.865,20.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,140,144,32.019,35.858,32.019,35.858,76.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,157,158,32.016,35.867,32.016,35.867,15.0
0595015a0e01509f3e2e5585b3f55ee76354d3b2d3919726c2c1ffbce0b8c049,160,161,32.015,35.868,32.015,35.868,15.0
