trip_id,last_time_gap,arrived_at_merch_time_gap,last_stationary_time_gap,last_stationary_index,driver_to_merch_index
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,1635.0,108.0,120.0,23,19
000e874d4760fe8abee13dafdfbaf304ad4964a7f2f2e7ede42db516dec685d7,2718.0,289.2,1150.0,119,44
0021d1f91196cd35ab1d51dd50e56e42e263c51b4893076f22edacc1e8dc47b4,2499.0,61.2,1947.0,175,1
00248a3aded3125bb48c280f9d32e88f53c8d0bdef213a24447325e1708924a5,891.0,7.2,454.0,41,0
00460b78326793989b5861abfa43270413873c540c818c8d87da2fcc6bf18585,1741.0,84.4,85.0,16,15
005bda3270ea904260295e1ceba7d4d88f86f3ce251dcaa2e48e8e710c12ab97,2094.0,751.2,942.0,154,130
006568ecf27349bb6447d421b7995ed89a22e15de089eda4cb0d28233223697b,1130.0,177.8,560.0,71,26
0082775f175064bbd9aa9c54185c9bf2fb318a8969f33531012c96284b3449f3,1660.0,28.0,595.0,69,0
00a066677fc7a691f0a8d256ac8a94dabefe8d7b2031ae0f4c3395e2a4aebd5a,2745.0,121.8,733.0,76,19
00a8a1894f7525143aa5ae66c46f635f23e4e7b33f524427f89d3a2060b050ea,2959.0,604.0,1139.0,163,82
00b199b347c7395fd4c6e137ec23e1f9c12bc2269c66da6bd2022ee413e696ea,2268.0,422.4,439.0,76,0
00bc9f8459b615b1e36baa53c3c2ea567c64698ecf1af51676680fa59a8c5156,2884.0,100.6,2159.0,218,13
00c56a189d06ba9935e7f5faf23adf5e6f1ee7822ae83738f71a1c6675df8b97,1144.0,35.2,35.0,6,6
00c7be86f7d167ae506402a77b0d7fecf1b65e3a06e947f69ae112006c5bdeba,1621.0,168.4,1156.0,134,25
00d0fe1a1e92c9bbd268bac976b989660f3a50904186478357385f3e55fbc7d2,1924.0,887.2,885.0,161,156
00d9849d6c36a355b342547c966fc95d2194652cf86a93d311216f68f5890205,2038.0,156.4,488.0,56,13
00de427194d067dfb687c85b8147252a8b71cfcfbf53854bcbf2940344699d78,1169.0,128.0,557.0,54,14
00e4d3cf28cabbccaccb4f9a9a55ade0b25a22e7705f9738c01309b2e0d01776,1747.0,325.6,553.0,78,21
00f752a5963f3f1e75c1631223d60ed1421f742fc7ebc6d4fbdda9078f631b25,3139.0,55.0,884.0,98,0
010d6f334b08e9c97acdee20d06b66f085f80d9eaf87c62cf167a167efad8448,2274.0,144.0,1184.0,131,22
011cc112cb24778122c9d610b0367b56dffca0f8d083c260b76087f3fcd52cee,2489.0,30.8,956.0,76,0
013d2a3a52f3bd1b31cb17fad545e99120e0c262ae46dd6704f60c97c0a49978,966.0,280.2,283.0,48,37
013d619547512596e019d5746cf52aac745dd34cdc52117aa1fb7e179c0da803,2020.0,917.8,1146.0,179,149
014b5f2a394191faf67fb4a3484f10b281afdc617413e492bb8250b407c8a5ef,2070.0,9.6,60.0,8,0
014b9ffd85582346240def95801a8565c0014a9f53ffa8635ea1167c4761091e,2920.0,469.0,735.0,105,70
018b078d105665d018bc6064d7dc82986ceaa72d480928d22dc0cd7878ecf1fd,1790.0,297.8,1019.0,124,51
018cf58d5396d3350fb2967ecc31a12d7de8aea8afbf931db3f5c302d602b1c4,1993.0,142.0,145.0,28,27
01a2f4f9f45df93132f0fb0bc0e36af5cbd8e7e500f01241f9e90a45659a1a0d,782.0,243.2,588.0,76,39
01b33bd2161af9d261d1558e2adfe53657eb94e4857781dd7917fca5d9e993c7,1972.0,818.2,1618.0,218,126
01cfffda05bd0c8ac4023b8fc514dcee64b4d5c195af422adda83ba6198adc61,3335.0,132.8,655.0,70,16
01e30e02f45ca0ff176586bf0e542e6e0dec1f682a07eb97cfea00d767db4ae6,2438.0,123.2,197.0,26,12
020338ba2df918b06b9dfc820fcceec2c3e6627cb3f479edb6025f16c5ccdedb,3326.0,108.2,225.0,27,14
